Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,EndTime,DurationMs
1084,2026-07-14 07:26:00,TrustedInstaller.exe,,10/11/2066 12:25:12 +00:00,LocalSystem,S-1-5-18,,4,58,2026-07-14 06:51:00,1200014
1085,2026-07-14 07:26:00,svchost.exe,[netprofm] [netprofm],11/12/2104 20:36:41 +00:00,NetworkService,S-1-5-20,,9,44,2026-07-14 07:26:00,3643458
1086,2026-07-14 07:26:00,ngentask.exe,,04/08/2022 21:24:38 +00:00,UnknownOrUserSid,S-1-5-21-2395961029-2893071609-3470587398-1000,,60,1175,2026-07-14 06:38:00,60004
1087,2026-07-14 07:26:00,svchost.exe,[appmodel] [StateRepository],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,117,2026-07-14 07:26:00,3643458
1088,2026-07-14 07:26:00,svchost.exe,[netsvcs] [SENS],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,73,2026-07-14 07:26:00,3643458
1089,2026-07-14 07:26:00,NisSrv.exe,,02/16/2009 07:37:20 +00:00,LocalService,S-1-5-19,,6,1176,2026-07-14 07:26:00,2999998
1090,2026-07-14 07:26:00,svchost.exe,[NetworkService] [TermService],11/12/2104 20:36:41 +00:00,NetworkService,S-1-5-20,,9,95,2026-07-14 07:26:00,3643356
1091,2026-07-14 07:26:00,MpDefenderCoreService.exe,,02/18/1990 03:51:29 +00:00,LocalSystem,S-1-5-18,,4,1177,2026-07-14 07:26:00,2999998
1092,2026-07-14 07:26:00,svchost.exe,[LocalServiceNoNetwork] [DPS],11/12/2104 20:36:41 +00:00,LocalService,S-1-5-19,,6,15,2026-07-14 07:26:00,3643458
1093,2026-07-14 07:26:00,svchost.exe,[wsappx] [AppXSvc],11/12/2104 20:36:41 +00:00,LocalSystem,S-1-5-18,,4,108,2026-07-14 07:26:00,1363357
1094,2026-07-14 07:26:00,MicrosoftEdgeUpdate.exe,,06/19/2026 19:42:36 +00:00,LocalSystem,S-1-5-18,,4,139,2026-07-14 07:26:00,1003341
1095,2026-07-14 07:26:00,svchost.exe,[LocalServiceNetworkRestricted],11/12/2104 20:36:41 +00:00,LocalService,S-1-5-19,,6,17,2026-07-14 07:26:00,3643458
