SourceFile,Executable,RunCount,LastRun,AllRunTimes,FilesLoaded
NOTEPAD.EXE-C5670914.pf,NOTEPAD.EXE,6,2020-09-19 03:47:39.738845,2020-09-19 03:47:39.738845; 2020-09-19 03:45:39.879332; 2020-09-19 03:45:34.507248; 2020-09-18 22:50:37.518407; 2020-09-18 22:48:08.283848; 2020-09-18 22:47:38.408830; 1601-01-01 00:00:00; 1601-01-01 00:00:00,81
ONEDRIVE.EXE-05361D4F.pf,ONEDRIVE.EXE,1,2020-09-19 03:37:34.489606,2020-09-19 03:37:34.489606; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,242
ONEDRIVE.EXE-2DA03F52.pf,ONEDRIVE.EXE,3,2020-09-18 23:00:20.075652,2020-09-18 23:00:20.075652; 2020-09-18 22:47:48.973680; 2020-09-18 22:47:21.956744; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,307
ONEDRIVE.EXE-5577B1EF.pf,ONEDRIVE.EXE,5,2020-09-19 03:16:24.468624,2020-09-19 03:16:24.468624; 2020-09-19 01:07:55.068168; 2020-09-18 21:41:10.915792; 2020-09-18 21:40:49.708089; 2020-09-18 05:56:31.330384; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,415
ONEDRIVE.EXE-DC5EBEAB.pf,ONEDRIVE.EXE,4,2020-09-19 05:08:37.703466,2020-09-19 05:08:37.703466; 2020-09-18 22:53:09.065770; 2020-09-18 22:45:24.722545; 2020-09-18 22:44:57.816598; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,309
ONEDRIVESETUP.EXE-5D730BD3.pf,ONEDRIVESETUP.EXE,2,2020-09-18 22:45:12.066354,2020-09-18 22:45:12.066354; 2020-09-18 22:45:19.894478; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,106
ONEDRIVESETUP.EXE-630E10DA.pf,ONEDRIVESETUP.EXE,2,2020-09-18 22:47:36.018764,2020-09-18 22:47:36.018764; 2020-09-18 22:47:44.018438; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,106
ONEDRIVESETUP.EXE-808CE70A.pf,ONEDRIVESETUP.EXE,5,2020-09-18 22:47:19.113594,2020-09-18 22:47:19.113594; 2020-09-18 22:47:17.893563; 2020-09-18 22:44:53.831905; 2020-09-18 22:44:52.144348; 2020-09-18 05:51:52.203633; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,136
ONEDRIVESETUP.EXE-86A71997.pf,ONEDRIVESETUP.EXE,2,2020-09-18 21:40:59.127578,2020-09-18 21:40:59.127578; 2020-09-18 21:41:00.408978; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,112
ONEDRIVESETUP.EXE-87A620F7.pf,ONEDRIVESETUP.EXE,1,2020-09-19 03:37:29.145367,2020-09-19 03:37:29.145367; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00; 1601-01-01 00:00:00,81
